"Marca temporal","Elige la comunidad autónoma en la que vives:","¿Qué son las políticas azules?","¿Qué Ministerio gestiona las políticas relacionadas con el agua?","¿Quién tiene la titularidad de la gestión del agua?","En las últimas dos décadas ¿cuántos litros de agua crees que consume de media una persona en su casa?","En mayo de 2023 ¿cuál es la comunidad autónoma que tiene los embalses más vacíos?","¿Cuál es la cuenca que más embalses tiene en España?","¿Cuál es el porcentaje de reutilización de aguas residuales tratadas en España?","¿Cómo crees que evolucionarán el estado de los embalses en el futuro?"
"2023/05/19 3:20:51 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:25:12 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:26:40 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:28:18 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:28:33 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Andalucía","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 3:28:59 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Cataluña","Cuenca del Tajo","50%","Empeorará"
"2023/05/19 3:33:01 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/19 3:33:30 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Cataluña","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 3:33:55 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","68,4","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 3:35:22 p. m. EEST","Galicia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Extremadura","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:35:37 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Extremadura","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/19 3:36:48 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:37:14 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","33,8","Extremadura","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/19 3:37:52 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Exteriores","Titularidad pública","68,4","Asturias","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 3:38:36 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 3:38:58 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:39:44 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Segura","9,96%","Mejorará"
"2023/05/19 3:44:13 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","68,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:45:39 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Cataluña","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:51:17 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 3:55:04 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Cataluña","Cuenca del Tajo","9,96%","Mejorará"
"2023/05/19 3:55:50 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Andalucía","Cuenca del Ebro","25%","Mejorará"
"2023/05/19 3:58:03 p. m. EEST","Castilla y León","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","5%","Mejorará"
"2023/05/19 4:07:18 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Consumo","Titularidad pública","53,4","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 4:10:08 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
