Lat.,Long.,Título,Cuenca,Embalse,X.1,Río,capacidad de agua embalsada,capacidad actual,porcentaje
43.2199023861522,-1.8789076544221532,"Embalse de Añarbe, España",Cantábrico Oriental,Añarbe,,Añarbe,38,28,"73,7"
43.0814416305249,-2.1256843792932876,"Embalse de Ibiur, España",Cantábrico Oriental,Ibiur,,Ibiur,8,6,"75,0"
43.1521001,-3.2954742,"Embalse de Ordunte, España",Cantábrico Oriental,Ordunte,,Ordunte,22,15,"68,2"
43.2781862896215, -1.774801915855786,"Embalse de San Antón, España",Cantábrico Oriental,San Antón,,Endara,5,4,"80,0"
43.2890895,-5.9213963,"Embalse de Alfilorios, España",Cantábrico Occidental,Alfilorios,,Barrea,8,6,"75,0"
43.0797931321552, -4.004081974200725,"Embalse de  Alsa - Mediajo, España",Cantábrico Occidental, Alsa - Mediajo,,Torina,22,17,"77,3"
43.4311479,-6.7512389,"Embalse de  Arbón, España",Cantábrico Occidental, Arbón,,Navia,41,37,"90,2"
15.36111,-92.99944,"Embalse de  Barca, La, España",Cantábrico Occidental," Barca, La",,Narcea,34,31,"91,2"
15.36111,-92.99944,"Embalse de  Cohilla, La, España",Cantábrico Occidental," Cohilla, La",,Nansa,12,1,"8,3"
43.3862127,-6.8252831,"Embalse de  Doiras, España",Cantábrico Occidental, Doiras,,Navia,97,67,"69,1"
43.2241423,-5.4638463,"Embalse de Rioseco, España",Cantábrico Occidental,Rioseco,,Nalón,4,2,"50,0"
43.1523715,-6.8742528,"Embalse de  Salime, España",Cantábrico Occidental, Salime,,Navia,266,128,"48,1"
43.2042048,-5.4034906,"Embalse de Tanes, España",Cantábrico Occidental,Tanes,,Nalón,34,31,"91,2"
42.39215894031653, -8.207974774198169,"Embalse de  Albarellos, España",Miño-Sil, Albarellos,,Avia,91,41,"45,1"
42.25179,-7.15283,"Embalse de  Bao, España",Miño-Sil, Bao,,Bibey,238,129,"54,2"
42.6248523,-6.5317767,"Embalse de Bárcena, España",Miño-Sil,Bárcena,,Sil,341,210,"61,6"
42.751625,-7.6548437,"Embalse de  Belesar, España",Miño-Sil, Belesar,,Miño,655,258,"39,4"
42.502426,-6.770368,"Embalse de  Campañana, La, España",Miño-Sil," Campañana, La",,Sil,14,1,"7,1"
42.3186875,-8.0704775,"Embalse de  Castrelo, España",Miño-Sil, Castrelo,,Miño,60,54,"90,0"
42.20215461172187,-7.260511662435113,"Embalse de  Cenza, España",Miño-Sil, Cenza,,Cenza,40,13,"32,5"
42.2630963,-7.3864225,"Embalse de  Chandrexa, España",Miño-Sil, Chandrexa,,Navea,61,28,"45,9"
41.9642244754164, -7.98341674383826,"Embalse de  Conchas, Las, España",Miño-Sil," Conchas, Las",,Limia,80,42,"52,5"
42.334166821872,-7.5281081408336075,"Embalse de  Edrada-Mao, España",Miño-Sil, Edrada-Mao,,Mao,14,3,"21,4"
42.2188797,-8.1812897,"Embalse de  Frieira, España",Miño-Sil, Frieira,,Miño,44,39,"88,6"
42.34364986291317, -7.301686307576475,"Embalse de  Guístolas, España",Miño-Sil, Guístolas,,Navea,5,3,"60,0"
42.8357273,-6.4318631,"Embalse de  Matalavilla, España",Miño-Sil, Matalavilla,,Valseco,65,36,"55,4"
43.17948,-7.20442,"Embalse de  Montefurado, España",Miño-Sil, Montefurado,,Bibey-Sil,10,9,"90,0"
42.5332194872417, -7.713032720615032,"Embalse de  Peares, Os, España",Miño-Sil," Peares, Os",,Miño,182,172,"94,5"
42.4795212,-6.8317195,"Embalse de  Peñarrubia, España",Miño-Sil, Peñarrubia,,Sil,13,4,"30,8"
42.09945,-6.98365,"Embalse de  Pías (San Agustín), España",Miño-Sil, Pías (San Agustín),,Bibey,10,4,"40,0"
42.0880856983870,-7.246452001022048,"Embalse de  Portas, Las, España",Miño-Sil," Portas, Las",,Camba,536,126,"23,5"
42.309289245545, -7.039987971891977,"Embalse de  Prada, España",Miño-Sil, Prada,,Jares,122,67,"54,9"
42.922064385068, -6.340669774622843,"Embalse de  Rozas, Las, España",Miño-Sil," Rozas, Las",,Sil,28,9,"32,1"
41.9130868,-7.8806289,"Embalse de  Salas, España",Miño-Sil, Salas,,Salas,87,34,"39,1"
42.4141506,-7.6533095,"Embalse de  San. Estevo, España",Miño-Sil, San. Estevo,,Sil,213,170,"79,8"
42.1399251,-8.0286857,"Embalse de  San Martiño, España",Miño-Sil, San Martiño,,Sil,10,9,"90,0"
38.2923643,-5.3369894,"Embalse de  San Pedro, España",Miño-Sil, San Pedro,,Sil,6,5,"83,3"
42.1521148,-6.9290141,"Embalse de  San Sebastián, España",Miño-Sil, San Sebastián,,Bibey,46,27,"58,7"
42.3605491373135,-7.079184200398523,"Embalse de  Santa Eulalia, España",Miño-Sil, Santa Eulalia,,Jares,10,6,"60,0"
42.44715,-7.24338,"Embalse de  Sequeiros, España",Miño-Sil, Sequeiros,,Sil,11,10,"90,9"
42.36187,-7.84351,"Embalse de  Velle, España",Miño-Sil, Velle,,Miño,17,13,"76,5"
42.6653922,-7.4170893,"Embalse de Vilasouto, España",Miño-Sil,Vilasouto,,Mao,21,7,"33,3"
42.87307087134,-8.759422780452635,"Embalse de  Barrie de la Maza, España",Galicia Costa, Barrie de la Maza,,Tambre,31,12,"38,7"
43.2713732,-8.2640546,"Embalse de Cecebre, España",Galicia Costa,Cecebre,,Mero,22,15,"68,2"
43.53642,-7.24737,"Embalse de Eiras, España",Galicia Costa,Eiras,,Oitavén,22,19,"86,4"
43.4,-8,"Embalse de  Eume, España",Galicia Costa, Eume,,Eume,123,95,"77,2"
43.0012905,-8.991723,"Embalse de  Fervenza, España",Galicia Costa, Fervenza,,Jallas,103,49,"47,6"
43.6154393943811, -8.085540947299899,"Embalse de Forcadas, As, España",Galicia Costa,"Forcadas, As",,Forcadas,11,8,"72,7"
42.85253,-8.18001,"Embalse de  Portodemouros, España",Galicia Costa, Portodemouros,,Ulla,297,173,"58,2"
43.4649336743253, -7.82335618237348,"Embalse de  Ribeira, A, España",Galicia Costa," Ribeira, A",,Eume,33,21,"63,6"
43.67550987839814, -7.445743758248293,"Embalse de Riocobo, España",Galicia Costa,Riocobo,,Cobo,6,4,"66,7"
42.9149845,-9.1050264,"Embalse de  Sta Uxia, España",Galicia Costa, Sta Uxia,,Jallas,18,13,"72,2"
43.09919814591092,-8.4975870737056,"Embalse de Villagudín, España",Galicia Costa,Villagudín,,Veduino,18,15,"83,3"
43.1267526446112,-2.225921224343113,"Embalse de Ibai-Eder, España",Cuencas Internas del País Vasco,Ibai-Eder,,Ibai-Eder,11,9,"81,8"
43.04622,-1.24004,"Embalse de Urkulu, España",Cuencas Internas del País Vasco,Urkulu,,Urkulu,10,8,"80,0"
41.9833510685155,-6.2099173745553555,"Embalse de  Agavanzal, Nª Sª de, España",Duero," Agavanzal, Nª Sª de",,Tera,36,29,"80,6"
40.529682,-6.4817064,"Embalse de Águeda, España",Duero,Águeda,,Águeda,22,17,"77,3"
42.8159662,-4.3221699,"Embalse de Aguilar, España",Duero,Aguilar,,Pisuerga,247,49,"19,8"
41.2160916,-6.6813212,"Embalse de  Aldeadávila, España",Duero, Aldeadávila,,Duero,114,99,"86,8"
41.2159526,-6.2907836,"Embalse de  Almendra, España",Duero, Almendra,,Tormes,2649,879,"33,2"
42.2639411,-3.3401987,"Embalse de Arlanzón, España",Duero,Arlanzón,,Arlanzón,22,18,"81,8"
42.8836096,-5.8783676,"Embalse de Barrios de Luna, España",Duero,Barrios de Luna,,Luna,308,89,"28,9"
41.3220761,-3.8720448,"Embalse de  Burgomillodo, España",Duero, Burgomillodo,,Duratón,14,13,"92,9"
42.9131424,-4.750103,"Embalse de Camporredondo, España",Duero,Camporredondo,,Carrión,70,19,"27,1"
42.93921,-5.77795,"Embalse de Casares de Arbas, España",Duero,Casares de Arbas,,Casares,37,25,"67,6"
41.6811293,-5.8722665,"Embalse de  Castro, España",Duero, Castro,,Duero,27,24,"88,9"
40.7215788806367, -4.69837595646507,"Embalse de Castro de las Cogotas, España",Duero,Castro de las Cogotas,,Adaja,59,36,"61,0"
42.0212348,-6.4697008,"Embalse de  Cernadilla, España",Duero, Cernadilla,,Tera,255,26,"10,2"
42.8727756,-4.5356267,"Embalse de Cervera, España",Duero,Cervera,,Rivera,10,8,"80,0"
42.8756858,-4.8056022,"Embalse de Compuerto, España",Duero,Compuerto,,Carrión,95,23,"24,2"
42.48333,0.1,"Embalse de Cuerda del Pozo, España",Duero,Cuerda del Pozo,,Duero,249,115,"46,2"
41.4985829,-3.5254559,"Embalse de Linares del Arroyo, España",Duero,Linares del Arroyo,,Riaza,55,32,"58,2"
40.9121244151520,-4.030583771668788,"Embalse de Pontón Alto, El, España",Duero,"Pontón Alto, El",,Eresma,7,6,"85,7"
42.9292672,-5.2940082,"Embalse de Porma-(Juan Benet), España",Duero,Porma-(Juan Benet),,Porma,318,157,"49,4"
42.1072294,-6.8244561,"Embalse de  Puente Porto, España",Duero, Puente Porto,,Segundera,23,5,"21,7"
41.7457537,-2.4619735,"Embalse de  Rábanos, España",Duero, Rábanos,,Duero,8,8,"100,0"
42.9233529,-4.4921244,"Embalse de Requejada, España",Duero,Requejada,,Pisuerga,66,21,"31,8"
42.9838487,-5.0073192,"Embalse de Riaño, España",Duero,Riaño,,Esla,641,314,"49,0"
41.6811293,-5.8722665,"Embalse de  Ricobayo, España",Duero, Ricobayo,,Esla,1145,446,"39,0"
41.403601753223, -5.272967571537301,"Embalse de San José, España",Duero,San José,,Duero,6,6,"100,0"
40.5909458,-5.5813022,"Embalse de Santa Teresa, España",Duero,Santa Teresa,,Tormes,496,299,"60,3"
41.0726668,-6.7777607,"Embalse de  Saucelle, España",Duero, Saucelle,,Duero,181,162,"89,5"
40.6868249417174,-4.4713141206361815,"Embalse de Serones, España",Duero,Serones,,Voltoya,6,6,"100,0"
42.2938534,-3.3339531,"Embalse de Úzquiza, España",Duero,Úzquiza,,Arlanzón,75,45,"60,0"
41.9676676,-6.2998335,"Embalse de  Valparaíso, España",Duero, Valparaíso,,Tera,169,125,"74,0"
41.417323813181,-3.9622080977813727,"Embalse de  Vencías, Las, España",Duero," Vencías, Las",,Duratón,5,4,"80,0"
