"Ciudad","Población","Entidad gestora","Precio de abastecimiento (€/m3)","Precio de saneamiento (€/m3)","Precio total (€/m3)"
"Albacete","172426","Aguas de Albacete","1,31","0,51","1,82"
"Alicante","330525","Aguas de Alicante","1,57","0,98","2,55"
"Almería","194515","Aqualia","1,25","0,54","1,79"
"Avila","58083","Aqualia","0,52","0,62","1,14"
"Badajoz","149946","Aqualia","1,17","0,58","1,75"
"Barcelona","1608746","Aigües de Barcelona","1,90","0,97","2,87"
"Bilbao","345122","Consorcio de Aguas Bilbao Bizkaia","0,85","0,88","1,73"
"Burgos","176608","Aguas de Burgos","0,62","0,53","1,15"
"Castellón de la Plana","170990","FACSA","0,64","0,70","1,34"
"Ciudad Real","74057","Aquona","0,86","0,59","1,45"
"Cuenca","55102","Aguas de Cuenca","0,68","0,74","1,42"
"Cáceres","95814","Canal de Isabel II","0,87","0,70","1,57"
"Cádiz","118919","Aguas de Cádiz","0,98","1,47","2,45"
"Córdoba","326609","EMACSA","1,29","0,55","1,84"
"Gerona","98255","Aigües de Girona Salt I Sarriá de Ter","0,68","0,99","1,67"
"Granada","234758","Emasagra","1,10","0,83","1,93"
"Guadalajara","83633","Guadalagua","0,49","0,41","0,90"
"Huelva","145468","Aguas de Huelva","1,21","1,15","2,36"
"Huesca","52282","Ayuntamiento de Huesca","0,66","0,97","1,63"
"Jaén","114658","Aqualia","1,19","0,45","1,64"
"La Coruña","243978","Emalcsa","0,71","0,65","1,36"
"Las Palmas de Gran Canaria","378998","EMALSA","1,86","0,27","2,13"
"León","126192","Aguas de León","0,54","0,75","1,29"
"Logroño","150876","Ayuntamiento de Logroño","0,62","0,75","1,37"
"Lugo","98268","Ayuntamiento de Lugo","0,66","0,47","1,13"
"Lérida","138144","Aqualia","1,17","1,04","2,21"
"Madrid","3165541","Canal de Isabel II","0,92","0,63","1,55"
"Murcia","441003","EMUASA","2,01","0,91","2,92"
"Málaga","569009","EMASA","1,10","0,66","1,76"
"Orense","105893","Viaqua","0,57","0,35","0,92"
"Oviedo","220585","Ayuntamiento de Oviedo","0,66","1,10","1,76"
"Palencia","79137","Aquona","0,45","0,38","0,83"
"Palma de Mallorca","402949","EMAYA","1,45","1,07","2,52"
"Pamplona","201311","Mancomunidad de la Comarca de Pamplona","0,50","0,83","1,33"
"Pontevedra","82459","Viaqua","0,68","0,71","1,39"
"Salamanca","144949","Aqualia","0,72","0,66","1,38"
"San Sebastián","186064","Aguas del Añarbe","0,59","0,59","1,18"
"Santander","172656","Aqualia","0,76","1,00","1,76"
"Segovia","53257","Ayuntamiento de Segovia","1,07","0,74","1,81"
"Sevilla","690566","Emasesa","1,09","1,16","2,25"
"Soria","39171","Aguas de Soria","0,46","0,50","0,96"
"Tarragona","131094","Ematsa","1,31","1,03","2,34"
"Teruel","35564","Aguas de Teruel","0,88","1,03","1,91"
"Toledo","83459","TAGUS","0,64","0,81","1,45"
"Valencia","790201","Global Omnium","1,15","1,00","2,15"
"Valladolid","301876","AQUAVALL","0,60","0,70","1,30"
"Vitoria","244634","AMVISA","0,58","0,51","1,09"
"Zamora","63217","Aquona","0,96","0,54","1,50"
"Zaragoza","661108","Ayuntamiento de Zaragoza","0,59","0,94","1,53"
